Nitrogenium,Azot
Barium,Bar
Bismuthum,Bizmut
Borium,Bor
Bromum,Brom
Chlorum,Chlor
Chromium,Chrom
Zincum,Cynk
Fluorum,Fluor
Phosphorus,Fosfor
Aluminium,Glin
Iodum,Jod
Silicium,Krzem
Lithium,Lit
Magnesium,Magnez
Cuprum,MiedŸ
Plumbum,O³ów
Kalium,Potas
Hydrargyrum,Rtêæ
Selenium,Selen
Sulfur,Siarka
Natrium,Sód
Argentum,Srebro
Oxygenium,Tlen
Calcium,Wapñ
Carboneum,Wêgiel
Hydrogenium,Wodór
Aurum,Z³oto
Ferrum,¯elazo
Calcii oxidum,tlenek wapnia
Hydrogenii peroxidum,nadtlenek wodoru
Magnesii oxidum,tlenek magnezu
Zinci oxidum,tlenek cynku
Aluminii hydroxidum,wodorotlenek glinu
Calcii hydroxidum,wodorotlenek wapnia
Natrii hydroxidum,wodorotlenek sodu
Acidum sulfuricum,kwas siarkowy
Acidum carbonicum,kwas wêglowy
Acidum hydrocarbonicum,kwas wodorowêglowy
Acidum phoshoricum,kwas fosforowy
Acidum nitricum,kwas azotowy
Acidum boricum,kwas borowy
Acidum hydrochloricum,kwas chlorowodorowy
Acidum aceticum,kwas octowy
Acidum formicum,kwas mrówkowy
Acidum propionicum,kwas propionowy
Acidum lacticum,kwas mlekowy
Acidum benzoicum,kwas benzoesowy
Acidum acetylsalicylicum,kwas acetylosalicylowy
Acidum citricum,kwas cytrynowy
Acidum tartaricum,kwas winowy
Acidum folicum,kwas foliowy
Acidum ascorbicum,kwas askorbowy
Magnesii carbonas,wêglan magnezu
Aluminii phosphas,fosforan glinu
Argenti nitras,azotan srebra
Natrii sulfas,siarczan sodu
Kalii phosphas,fosforan potasu
Lithii carbonas,wêglan litu
Natrii hydrocarbonas,wodorowêglan sodu
Natrii dihydrophosphas,diwodorofosforan sodu
Kalii permanganas,nadmanganian potasu
Natrii tiosulfas,tiosiarczan sodu
Natrii nitris,azotyn sodu
Kalii sulfis,siarczyn potasu
Ferrosi gluconas,glukonian ¿elaza
Natrii benzoas,benzoesan sodu
Natrii salicylas,salicylan sodu
Natrii citras,cytrynian sodu
Natrii tetraboras,tetraboran sodu
Atropini sulfas,siarczan atropiny
Ethacridini lactas,mleczan etakrydyny
Hydrocortisoni acetas,octan hydrokortyzonu
Norepinephrini bitartras,wodorowinian norepinefryny
Testosteroni propionas,propionian testosteronu
Natrii chloridum,chlorek sodu
Ammonii bromidum,bromek amonowy
Kalii iodidum,jodek potasu
Natrii fluoridum,fluorek sodu
Zinci chloridum,chlorek cynku
Chlorpromazini hydrochloridum,chloropromazyny chlorowodorek
Homatropini hydrobromidum,homatropiny bromowodorek
Morphini hydrochloridum,morfiny chlorowodorek
Papaverini hydrochloridum,papaweryny chlorowodorek
Belladonnae folium,liœæ pokrzyku
Adonidis vernalis herba,ziele mi³ka wiosennego
Anisi fructus,owoc any¿u
Salviae folium,liœæ sza³wii
Sennae folium,liœæ senesu
Chamomillae anthodium,koszyczek rumianku
Frangulae cortex,kora kruszyny
Lini semen,nasienie lnu
Sambuci flos,kwiat bzu czarnego
Ipecacuanhae radix,korzeñ wymiotnicy
Valerianae radix,korzeñ koz³ka
Rhei rhizoma,k³¹cze rzewienia
Eucalypti aetheroleum,olejek eukaliptusowy
Menthae piperitae aetheroleum,olejek z miêty pieprzowcowej
Ipecacuanhae tinctura,nalewka z wymiotnicy
Valerianae tinctura,nalewka z koz³ka
